id,spkid,target_initials_1,target_initials_2,target_initials_3,spoken_initials_1,spoken_initials_2,spoken_initials_3,target_consonants_1,target_consonants_2,target_consonants_3,spoken_consonants1,spoken_consonants2,spoken_consonants3,target_tones_1,target_tones_2,target_tones_3,spoken_tones_1,spoken_tones_2,spoken_tones_3
129,36,t,t,t,t,t,t,u,u,u,u,u,u,2,2,2,2,2,2
130,36,x,x,x,x,x,x,in,in,in,in,in,in,1,1,1,1,1,1
131,36,x,x,x,x,x,x,in,in,in,in,in,in,1,1,1,1,1,1
132,36,m,m,m,m,m,m,u,u,u,u,u,u,4,4,4,4,2,4
133,36,q,q,q,q,q,q,in,in,in,in,in,in,2,2,2,2,2,2
134,36,m,m,m,m,m,m,u,u,u,u,u,u,4,4,4,4,4,4
135,36,q,q,q,q,q,q,in,in,in,i,in,in,2,2,2,2,2,2
136,36,j,j,j,j,j,j,ing,ing,ing,in,ing,ing,4,4,4,4,4,4
137,36,z,z,z,z,z,z,i,i,i,i,i,i,5,5,5,5,5,5
138,36,x,x,x,*,x,x,iong,iong,iong,iong,iong,iong,2,2,2,2,2,2
139,36,n,n,n,n,n,n,iu,iu,iu,iu,iu,iu,2,2,2,2,2,2
140,36,l,l,l,l,l,l,iu,iu,iu,iu,iu,iu,2,2,2,2,2,2
141,36,l,l,l,l,l,l,ian,ian,ian,ian,ian,ian,2,2,2,2,2,2
142,36,j,j,j,j,j,j,i,i,i,i,i,i,1,1,1,1,1,1
143,36,j,j,j,j,j,j,v,v,v,v,v,v,2,2,2,2,2,2
144,36,z,z,z,z,z,z,i,i,i,i,i,i,5,5,5,5,5,5
145,36,k,k,k,k,k,k,ong,ong,ong,ong,ong,ong,3,3,3,3,3,3
146,36,q,q,q,q,q,q,ve,ve,ve,ve,ve,ve,4,4,4,4,4,4
147,36,k,k,k,k,k,k,ong,ong,ong,ong,ong,ong,3,3,3,3,3,3
148,36,l,l,l,l,l,l,ong,ong,ong,ong,ong,ong,2,2,2,2,2,2
149,36,k,k,k,k,k,k,ou,ou,ou,ou,ou,ou,3,3,3,3,3,3
150,36,zh,zh,zh,zh,zh,zh,ao,ao,ao,ao,ao,ao,4,4,4,4,4,4
151,36,l,l,l,l,l,l,ong,ong,ong,ong,ong,ong,2,2,2,2,2,2
152,36,l,l,l,l,l,l,i,i,i,i,i,i,2,2,2,2,2,2
153,36,l,l,l,l,l,l,i,i,i,i,i,i,2,2,2,2,2,2
154,36,n,n,n,n,n,n,iao,iao,iao,iao,iao,iao,3,3,3,3,3,3
155,36,m,m,m,m,m,m,o,o,o,o,o,o,2,2,2,2,2,2
156,36,g,g,g,g,g,g,u,u,u,u,u,u,5,5,5,5,5,5
157,36,t,t,t,t,t,t,ong,ong,ong,ong,ong,ong,3,3,3,3,3,3
158,36,zh,zh,zh,zh,zh,zh,ong,ong,ong,ong,ong,ong,1,1,1,1,1,1
159,36,zh,zh,zh,zh,zh,zh,ong,ong,ong,ong,ong,ong,1,1,1,1,1,1
160,36,r,r,r,r,r,r,ou,ou,ou,ou,ou,ou,4,4,4,4,4,4
161,36,零,零,零,零,零,零,ou,ou,ou,ou,ou,ou,3,3,3,3,3,3
162,36,零,零,零,零,零,零,ou,ou,ou,ou,ou,ou,3,3,3,3,3,3
163,36,p,p,p,p,p,p,en,en,en,en,en,en,1,1,1,1,1,1
164,36,q,q,q,q,q,q,van,van,van,van,van,van,2,2,2,2,2,2
165,36,q,q,q,q,q,q,van,van,van,van,van,van,2,2,2,2,2,2
166,36,t,t,t,t,t,t,ou,ou,ou,ou,ou,ou,5,5,5,5,5,4
167,36,r,r,r,r,r,r,i,i,i,i,i,i,4,4,4,4,4,4
168,36,l,l,l,l,l,l,i,i,i,i,i,i,4,4,4,4,4,4
169,36,r,r,r,r,r,r,i,i,i,i,i,i,4,4,4,4,4,4
170,36,l,l,l,l,l,l,i,i,i,i,i,i,4,4,4,4,4,4
171,36,s,s,s,s,s,s,uan,uan,uan,uan,uan,uan,4,4,4,4,4,4
172,36,s,s,s,s,s,s,uan,uan,uan,uan,uan,uan,4,4,4,4,4,4
173,36,s,s,s,s,s,s,uo,uo,uo,uo,uo,uo,3,3,3,3,3,3
174,36,s,s,s,s,s,s,un,un,un,un,un,un,3,3,3,3,3,3
175,36,sh,sh,sh,sh,sh,sh,u,u,u,u,u,u,1,1,1,1,1,1
176,36,t,t,t,t,t,t,ui,ui,ui,ui,ui,ui,3,3,3,3,3,3
177,36,g,g,g,g,g,g,u,u,u,u,u,u,3,3,3,3,3,3
178,36,zh,zh,zh,zh,zh,zh,uo,uo,uo,uo,uo,uo,1,1,1,1,1,1
179,36,z,z,z,z,z,z,i,i,i,i,i,i,5,5,5,5,5,5
180,36,b,b,b,b,b,b,u,u,u,u,u,u,4,4,4,4,4,4
181,36,b,b,b,b,b,b,u,u,u,u,u,u,4,4,4,4,4,4
182,36,k,k,k,k,k,k,u,u,u,u,u,u,3,3,3,2,3,3
183,36,g,g,g,g,g,g,ua,ua,ua,ua,ua,ua,1,1,1,1,1,1
184,36,l,l,l,l,l,l,i,i,i,i,i,i,3,3,3,3,3,3
185,36,h,h,h,h,h,h,ua,ua,ua,ua,ua,ua,1,1,1,1,1,1
186,36,l,l,l,l,l,l,i,i,i,i,i,i,3,3,3,3,3,3
187,36,h,h,h,h,h,h,ua,ua,ua,ua,ua,ua,1,1,1,1,1,1
188,36,零,零,零,零,零,零,ua,ua,ua,ua,ua,ua,2,2,2,2,2,2
189,36,零,零,零,零,零,零,ua,ua,ua,ua,ua,ua,5,5,5,5,5,5
190,36,零,零,零,零,零,零,ua,ua,ua,ua,ua,ua,2,2,2,2,2,2
191,36,零,零,零,零,零,零,ua,ua,ua,ua,ua,ua,5,5,5,5,5,5
192,36,g,g,g,g,g,g,uai,uai,uai,uai,uai,uai,3,3,3,3,3,3
193,36,g,g,g,g,g,g,un,un,un,un,un,un,4,4,4,4,4,4
194,36,g,g,g,g,g,g,uai,uai,uai,uai,uai,uai,3,3,3,3,3,3
195,36,g,g,g,g,g,g,un,un,un,un,un,un,4,4,4,4,4,4
196,36,k,k,k,k,k,k,uai,uai,uai,uai,uai,uai,4,4,4,4,4,4
197,36,z,z,z,z,z,z,i,i,i,i,i,i,5,5,5,5,5,5
198,36,零,零,零,零,零,零,uan,uan,uan,uan,uan,uan,3,3,3,3,3,3
199,36,ch,ch,ch,ch,ch,ch,uang,uang,uang,uang,uang,uang,2,2,2,2,2,2
200,36,零,零,零,零,零,零,uang,uang,uang,uang,uang,uang,3,3,3,2,3,2
201,36,零,零,零,零,零,零,uang,uang,uang,uang,uang,uang,3,3,3,2,3,2
202,36,ch,ch,ch,ch,ch,ch,uang,uang,uang,*,uang,uang,1,1,1,1,1,1
203,36,h,h,h,h,h,h,u,u,u,u,u,u,5,5,5,5,5,5
204,36,ch,ch,ch,ch,ch,ch,uang,uang,uang,uang,uang,uang,1,1,1,1,1,1
205,36,h,h,h,h,h,h,u,u,u,u,u,u,5,5,5,5,5,5
206,36,t,t,t,t,t,t,ie,ie,ie,ie,ie,ie,3,3,3,3,3,3
207,36,g,g,g,g,g,g,ui,ui,ui,ui,ui,ui,3,3,3,3,3,3
208,36,t,t,t,t,t,t,ie,ie,ie,ie,ie,ie,3,3,3,3,3,3
209,36,g,g,g,g,g,g,ui,ui,ui,ui,ui,ui,3,3,3,3,3,3
210,36,z,z,z,z,z,z,ui,ui,ui,ui,ui,ui,3,3,3,3,3,3
211,36,sh,sh,sh,sh,sh,sh,ui,ui,ui,ui,ui,ui,3,3,3,3,3,3
212,36,sh,sh,sh,sh,sh,sh,ui,ui,ui,ui,ui,ui,3,3,3,3,3,3
213,36,l,l,l,l,l,l,un,un,un,un,un,un,2,2,2,2,2,2
214,36,t,t,t,t,t,t,ai,ai,ai,ai,ai,ai,1,1,1,2,3,2
215,36,l,l,l,l,l,l,un,un,un,un,un,un,2,2,2,2,2,2
216,36,t,t,t,t,t,t,ai,ai,ai,ai,ai,ai,1,1,1,2,3,2
217,36,l,l,l,l,l,l,un,un,un,un,un,un,2,2,2,2,2,2
218,36,t,t,t,t,t,t,ai,ai,ai,ai,ai,ai,1,1,1,1,1,1
219,36,h,h,h,h,h,h,ai,ai,ai,ai,ai,ai,3,3,3,3,3,3
220,36,t,t,t,t,t,t,un,un,un,un,un,un,2,2,2,2,2,2
221,36,zh,zh,zh,zh,zh,zh,uo,uo,uo,uo,uo,uo,1,1,1,1,1,1
222,36,z,z,z,z,z,z,i,i,i,i,i,i,5,5,5,5,5,5
223,36,g,g,g,g,g,g,uo,uo,uo,uo,uo,uo,1,1,1,1,1,1
224,36,b,b,b,b,b,b,o,o,o,o,o,o,1,1,1,1,1,1
225,36,l,l,l,l,l,l,uo,uo,uo,uo,uo,uo,2,2,2,2,2,2
226,36,t,t,t,t,t,t,uo,uo,uo,uo,uo,uo,2,2,2,2,2,2
227,36,n,n,n,n,n,n,iao,iao,iao,iao,iao,iao,3,3,3,3,3,3
228,36,t,t,t,t,t,t,uo,uo,uo,uo,uo,uo,2,2,2,2,2,2
229,36,n,n,n,n,n,n,iao,iao,iao,iao,iao,iao,3,3,3,3,3,3
230,36,零,零,零,零,零,零,v,v,v,v,v,v,4,4,4,4,4,4
231,36,m,m,m,m,m,m,i,i,i,i,i,i,3,3,3,3,3,3
232,36,零,零,零,零,零,零,v,v,v,v,v,v,2,2,2,2,2,2
233,36,l,l,l,l,l,l,v,v,v,v,v,v,2,2,2,2,2,2
234,36,l,l,l,l,l,l,v,v,v,v,v,v,2,2,2,2,2,2
235,36,x,x,x,x,x,x,ve,ve,ve,ve,ve,ve,3,3,3,3,3,3
236,36,零,零,零,零,零,零,vn,vn,vn,vn,vn,vn,2,2,2,2,2,2
237,36,零,零,零,零,零,零,vn,vn,vn,vn,vn,vn,2,2,2,2,2,2
238,36,zh,zh,zh,zh,zh,zh,ou,ou,ou,ou,ou,ou,1,1,1,1,1,1
239,36,zh,zh,zh,zh,zh,zh,u,u,u,u,u,u,1,1,1,1,1,1
240,36,sh,sh,sh,sh,sh,sh,an,an,an,an,an,an,1,1,1,1,1,1
241,36,g,g,g,g,g,g,ua,ua,ua,ua,ua,ua,1,1,1,1,1,1
242,36,z,z,z,z,z,z,i,i,i,i,i,i,3,3,3,3,3,3
243,36,z,z,z,z,z,z,u,u,u,u,u,u,2,2,2,2,2,2
244,36,q,q,q,q,q,q,iu,iu,iu,iu,iu,iu,2,2,2,2,2,2
245,36,ch,ch,ch,ch,ch,ch,uan,uan,uan,uan,uan,uan,2,2,2,3,2,3
246,36,m,m,m,m,m,m,ao,ao,ao,ao,ao,ao,1,1,1,1,1,1
247,36,d,d,d,d,d,d,eng,eng,eng,eng,eng,eng,1,1,1,1,1,1
248,36,k,k,k,k,k,k,e,e,e,e,e,e,1,1,1,1,1,1
249,36,d,d,d,d,d,d,ou,ou,ou,ou,ou,ou,3,3,3,3,3,3
250,36,k,k,k,k,k,k,e,e,e,e,e,e,1,1,1,1,1,1
251,36,d,d,d,d,d,d,ou,ou,ou,ou,ou,ou,3,3,3,3,3,3
252,36,c,c,c,c,c,c,ao,ao,ao,ao,ao,ao,3,3,3,3,3,3
253,36,m,m,m,m,m,m,ei,ei,ei,ei,ei,ei,2,2,2,2,2,2
254,36,n,n,n,l,n,n,ing,ing,ing,ing,ing,ing,2,2,2,2,2,2
255,36,m,m,m,m,m,m,eng,eng,eng,eng,eng,eng,2,2,2,2,2,2
256,36,n,n,n,l,n,n,ing,ing,ing,ing,ing,ing,2,2,2,2,2,2
257,36,m,m,m,m,m,m,eng,eng,eng,eng,eng,eng,2,2,2,2,2,2
258,36,m,m,m,m,m,m,i,i,i,i,i,i,4,4,4,4,4,4
259,36,f,f,f,f,f,f,eng,eng,eng,en,eng,eng,1,1,1,1,1,1
260,36,m,m,m,m,m,m,i,i,i,i,i,i,4,4,4,4,4,4
261,36,f,f,f,f,f,f,eng,eng,eng,en,eng,eng,1,1,1,1,1,1
262,36,零,零,零,零,零,零,ia,ia,ia,ia,ia,ia,2,2,2,2,2,2
263,36,ch,ch,ch,ch,ch,ch,i,i,i,i,i,i,3,3,3,3,3,3
264,36,q,q,q,ch,q,q,iang,iang,iang,iang,iang,iang,1,1,1,1,1,1
265,36,q,q,q,q,q,q,iang,iang,iang,iang,iang,iang,1,1,1,1,1,1
266,36,零,零,零,零,零,零,iao,iao,iao,iao,iao,iao,4,4,4,4,4,4
267,36,p,p,p,p,p,p,ing,ing,ing,ing,ing,ing,2,2,2,2,2,2
268,36,g,g,g,g,g,g,uo,uo,uo,uo,uo,uo,3,3,3,3,3,3
269,36,q,q,q,*,q,q,iu,iu,iu,iu,iu,iu,1,1,1,1,1,1
270,36,q,q,q,q,q,q,ian,ian,ian,ian,ian,ian,1,1,1,1,1,1
271,36,q,q,q,q,q,q,iu,iu,iu,iu,iu,iu,1,1,1,1,1,1
272,36,q,q,q,q,q,q,ian,ian,ian,ian,ian,ian,1,1,1,1,1,1
273,36,j,j,j,j,j,j,v,v,v,v,v,v,4,4,4,4,4,4
274,36,z,z,z,z,z,z,i,i,i,i,i,i,5,5,5,5,5,5
275,36,j,j,j,j,j,j,v,v,v,v,v,v,4,4,4,4,4,4
276,36,z,z,z,z,z,z,i,i,i,i,i,i,5,5,5,5,5,5
277,36,m,m,m,m,m,m,i,i,i,i,i,i,3,3,3,3,3,3
278,36,m,m,m,m,m,m,i,i,i,i,i,i,3,3,3,3,3,3
279,36,f,f,f,f,f,f,an,an,an,an,an,an,4,4,4,4,4,4
280,36,ch,ch,ch,ch,ch,ch,ong,ong,ong,ong,ong,ong,2,2,2,2,2,2
281,36,z,z,z,z,z,z,i,i,i,i,i,i,5,5,5,5,5,5
282,36,ch,ch,ch,ch,ch,ch,ong,ong,ong,ong,ong,ong,2,2,2,2,2,2
283,36,z,z,z,z,z,z,i,i,i,i,i,i,5,5,5,5,5,5
284,36,t,t,t,t,t,t,ou,ou,ou,ou,ou,ou,2,2,2,2,2,2
285,36,t,t,t,t,t,t,ou,ou,ou,ou,ou,ou,2,2,2,2,2,2
286,36,p,p,p,f,p,p,u,u,u,u,u,u,2,2,2,2,2,2
287,36,t,t,t,t,t,t,ao,ao,ao,ao,ao,ao,5,5,5,5,5,5
288,36,s,s,s,s,s,s,ong,ong,ong,ong,ong,ong,1,1,1,1,1,1
289,36,sh,sh,sh,sh,sh,sh,u,u,u,u,u,u,3,3,3,3,3,3
290,36,t,t,t,t,t,t,u,u,u,u,u,u,3,3,3,*,3,3
291,36,t,t,t,t,t,t,u,u,u,u,u,u,3,3,3,2,3,3
292,36,zh,zh,zh,zh,zh,zh,ua,ua,ua,ua,ua,ua,3,3,3,3,3,3
293,36,z,z,z,z,z,z,i,i,i,i,i,i,5,5,5,2,5,2
294,36,zh,zh,zh,zh,zh,zh,ua,ua,ua,ua,ua,ua,3,3,3,3,3,3
295,36,z,z,z,z,z,z,i,i,i,i,i,i,5,5,5,5,5,2
296,36,zh,zh,zh,zh,zh,zh,ua,ua,ua,ua,ua,ua,3,3,3,3,3,3
297,36,z,z,z,z,z,z,i,i,i,i,i,i,5,5,5,5,5,2
298,52,t,t,t,t,t,t,a,a,a,a,a,a,3,3,3,2,3,3
299,52,sh,sh,sh,sh,sh,sh,ui,ui,ui,ui,ui,ui,3,3,3,3,3,3
300,52,ch,ch,ch,ch,ch,ch,a,a,a,a,a,a,2,2,2,2,2,2
301,52,sh,sh,sh,sh,sh,sh,a,a,a,a,a,a,1,1,1,1,1,1
302,52,f,f,f,f,f,f,a,a,a,a,a,a,1,1,1,1,1,1
303,52,n,n,n,n,n,n,iu,iu,iu,iu,iu,iu,2,2,2,2,2,2
304,52,n,n,n,n,n,n,ai,ai,ai,ai,ai,ai,3,3,3,3,3,3
305,52,c,c,c,t,c,c,ai,ai,ai,ai,ai,ai,4,4,4,4,4,4
306,52,c,c,c,c,c,c,ai,ai,ai,ai,ai,ai,3,3,3,3,3,3
307,52,h,h,h,h,h,h,ong,ong,ong,*,ong,ong,2,2,2,2,2,2
308,52,ch,ch,ch,ch,ch,ch,ong,ong,ong,ong,ong,ong,2,2,2,2,2,2
309,52,z,z,z,z,z,z,i,i,i,i,i,i,5,5,5,5,5,5
